"object_id"	"object_annotation_status"	"object_annotation_person_name"	"object_annotation_person_email"	"object_annotation_date"	"object_annotation_time"	"object_annotation_category"	"object_annotation_category_id"
"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"
"20200205-111823_3"	"validated"	"Application Administrator"	"administrator"	"20240127"	"085129"	"Copepoda"	25828
"20200205-111825_1"	"validated"	"Application Administrator"	"administrator"	"20240127"	"085129"	"Copepoda"	25828
"20200205-111826_1"	"validated"	"Application Administrator"	"administrator"	"20240127"	"085129"	"Crustacea"	12846
"20200205-111826_2"	"validated"	"Application Administrator"	"administrator"	"20240127"	"085129"	"Crustacea"	12846
"20200205-111826_3"	"validated"	"Application Administrator"	"administrator"	"20240127"	"085129"	"Copepoda"	25828
"20200205-111908_2"	"validated"	"Application Administrator"	"administrator"	"20240127"	"085129"	"Crustacea"	12846
"20200205-111910_1"	"validated"	"Application Administrator"	"administrator"	"20240127"	"085129"	"Copepoda"	25828
"20200205-111912_1"	"validated"	"Application Administrator"	"administrator"	"20240127"	"085129"	"Copepoda"	25828
"20200205-111915_1"	"validated"	"Application Administrator"	"administrator"	"20240127"	"085129"	"Crustacea"	12846
"20200205-111916_1"	"validated"	"Application Administrator"	"administrator"	"20240127"	"085129"	"Copepoda"	25828
"20200205-111916_2"	"validated"	"Application Administrator"	"administrator"	"20240127"	"085129"	"Copepoda"	25828
"20200205-111938_15"	"validated"	"Application Administrator"	"administrator"	"20240127"	"085129"	"Crustacea"	12846
"20200205-112050_1"	"validated"	"Application Administrator"	"administrator"	"20240127"	"085129"	"Copepoda"	25828
"20200205-112053_1"	"validated"	"Application Administrator"	"administrator"	"20240127"	"085129"	"Crustacea"	12846
"20200205-112059_1"	"validated"	"Application Administrator"	"administrator"	"20240127"	"085129"	"Crustacea"	12846
